"filename", "language", "JSON", "JavaScript", "Log", "CSS", "Markdown", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\README.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 0, 0, 32, 69
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\debug.log", "Log", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\package-lock.json", "JSON", 14678, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14679
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\all.css", "CSS", 0, 0, 0, 2963, 0, 0, 0, 0, 6, 1428, 4397
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\font\Flaticon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 63, 3, 2, 68
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\font\_flaticon.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 4, 5, 50
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\font\flaticon.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 0, 5, 5, 50
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\font\flaticon.html", "HTML", 0, 0, 0, 0, 0, 437, 0, 0, 4, 39, 480
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 1, 4, 43
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\jquery.js", "JavaScript", 0, 7078, 0, 0, 0, 0, 0, 0, 1857, 2074, 11009
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\scroll.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3447, 4, 1, 3452
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 799, 4, 1, 804
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\public\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4645, 4, 1, 4650
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\App.css", "CSS", 0, 0, 0, 112, 0, 0, 0, 0, 3, 22, 137
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\App.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 3, 144
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\ScrollToTop.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 13, 7, 34
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\Account.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\Account.js", "JavaScript", 0, 174, 0, 0, 0, 0, 0, 0, 0, 4, 178
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\AccountMenu.css", "CSS", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\AccountMenu.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\AddressPhoneNumber.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\Order.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\Orders.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 5, 127
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\PhoneNumber.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\SellerRegister.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 0, 1, 3, 185
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\SellerTextArea.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\WishList.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Account\Wishlist.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
